source,filename,sheet_name,name,description,price,schema,valid,collect_dt,sorted_schema,company,category,extension,tags,대분류,중분류,소분류,tags_list,data_size,data_count,data_size_bytes
bigdata-sea,page_001048.html,-,벌커선 항로별 운항시간 데이터 셋,항로별 운항시간,0,MMSI|IMO_IDNTF_NO|DPTR_HMS|ARVL_HMS|DPTRP_LA|DPTRP_LO|DTNT_LA|DTNT_LO|DPTR_CN_NM|ARVL_CN_NM|DPRT_PRT_CD|DPTR_PRT_NM|ARRV_PRT_CD|ARVL_PRT_NM|NVGTN_TM|PRT_NCHRG_TM|BLLAT_HOUR|FRGHT_CNVNC_TM|NNVGTN_TM,True,2025-07-15,ARRV_PRT_CD-ARVL_CN_NM-ARVL_HMS-ARVL_PRT_NM-BLLAT_HOUR-DPRT_PRT_CD-DPTRP_LA-DPTRP_LO-DPTR_CN_NM-DPTR_HMS-DPTR_PRT_NM-DTNT_LA-DTNT_LO-FRGHT_CNVNC_TM-IMO_IDNTF_NO-MMSI-NNVGTN_TM-NVGTN_TM-PRT_NCHRG_TM,올시데이터,해운물류,"CSV, JSON, XML","['allseadata', 'ballasthour', 'loadedhour', '발라스트시간', '선박시간', '올시데이터', '운항시간', '항로정보']",산업/기술,해양/수산,선박,"['allseadata', 'ballasthour', 'loadedhour', '발라스트시간', '선박시간', '올시데이터', '운항시간', '항로정보']",79128979,994638,79128979.0
bigdata-sea,page_001049.html,-,벌커선 선박의 운항시간 데이터 셋,선박의 운항시간,0,MMSI|IMO_IDNTF_NO|SHIP_NM|SHIP_KIND|SHIP_WDTH|SHIP_LNTH|SHIP_HGHT|SHIP_OWNER_NM|DRAFT|SHPYRD_NM|BULD_YR|DDWGHT|DPTR_HMS|ARVL_HMS|DPTRP_LA|DPTRP_LO|DTNT_LA|DTNT_LO|NVGTN_TM|PRT_NCHRG_TM|BLLAT_HOUR|FRGHT_CNVNC_TM|NNVGTN_TM,True,2025-07-15,ARVL_HMS-BLLAT_HOUR-BULD_YR-DDWGHT-DPTRP_LA-DPTRP_LO-DPTR_HMS-DRAFT-DTNT_LA-DTNT_LO-FRGHT_CNVNC_TM-IMO_IDNTF_NO-MMSI-NNVGTN_TM-NVGTN_TM-PRT_NCHRG_TM-SHIP_HGHT-SHIP_KIND-SHIP_LNTH-SHIP_NM-SHIP_OWNER_NM-SHIP_WDTH-SHPYRD_NM,올시데이터,해운물류,"CSV, JSON, XML","['allseadata', 'ballasthour', 'loadedhour', '발라스트시간', '선박시간', '올시데이터', '운항시간', '항로정보']",산업/기술,해양/수산,선박,"['allseadata', 'ballasthour', 'loadedhour', '발라스트시간', '선박시간', '올시데이터', '운항시간', '항로정보']",894709,17815,894709.0
bigdata-sea,page_001050.html,-,벌커선 항로별 선박엔진 부하도 데이터 셋,항로별 선박엔진 부하도,0,YMD|MMSI|LA|LO|VE|SH_DRCN|IMO_IDNTF_NO|DRAFT|NVGTN_DIST|WAVE_HGHT|WAVE_CYCL|WNDRC_U|WNDRC_V|LD_RT,True,2025-07-15,DRAFT-IMO_IDNTF_NO-LA-LD_RT-LO-MMSI-NVGTN_DIST-SH_DRCN-VE-WAVE_CYCL-WAVE_HGHT-WNDRC_U-WNDRC_V-YMD,올시데이터,해운물류,"CSV, JSON, XML","['allseadata', '선박부하도', '엔진부하도', '올시데이터', '항로부하도', '항로정보']",산업/기술,해양/수산,선박,"['allseadata', '선박부하도', '엔진부하도', '올시데이터', '항로부하도', '항로정보']",1077479509,18366128,1077479509.0
bigdata-sea,page_001051.html,-,벌커선 선박의 선박엔진 부하도 데이터 셋,선박의 선박엔진 부하도,0,MMSI|IMO_IDNTF_NO|SHIP_NM|SHIP_KIND|SHIP_WDTH|SHIP_LNTH|SHIP_HGHT|SHIP_OWNER_NM|DRAFT|SHPYRD_NM|BULD_YR|DDWGHT|DPTR_HMS|ARVL_HMS|DPTRP_LA|DPTRP_LO|DTNT_LA|DTNT_LO|AVE_VE|MAX_VE|NVGTN_DIST|WAVE_MAX_CYCL|WAVE_AVE_CYCL|WAVE_MAX_HGHT|WAVE_AVE_HGHT|MAX_WDSP|AVE_WDSP|LD_RT,True,2025-07-15,ARVL_HMS-AVE_VE-AVE_WDSP-BULD_YR-DDWGHT-DPTRP_LA-DPTRP_LO-DPTR_HMS-DRAFT-DTNT_LA-DTNT_LO-IMO_IDNTF_NO-LD_RT-MAX_VE-MAX_WDSP-MMSI-NVGTN_DIST-SHIP_HGHT-SHIP_KIND-SHIP_LNTH-SHIP_NM-SHIP_OWNER_NM-SHIP_WDTH-SHPYRD_NM-WAVE_AVE_CYCL-WAVE_AVE_HGHT-WAVE_MAX_CYCL-WAVE_MAX_HGHT,올시데이터,해운물류,"CSV, JSON, XML","['allseadata', '선박부하도', '엔진부하도', '올시데이터', '항로부하도', '항로정보']",산업/기술,해양/수산,선박,"['allseadata', '선박부하도', '엔진부하도', '올시데이터', '항로부하도', '항로정보']",901338,17947,901338.0
bigdata-sea,page_001052.html,-,벌커선 항로별 화물운송 데이터 셋,항로별 화물운송,0,MMSI|IMO_IDNTF_NO|SHIP_OWNER_NM|DPTR_HMS|ARVL_HMS|DPTRP_LA|DPTRP_LO|DTNT_LA|DTNT_LO|DPTR_CN_NM|ARVL_CN_NM|DPRT_PRT_CD|DPTR_PRT_NM|ARRV_PRT_CD|ARVL_PRT_NM|FRGHT_CNVNC_QTY|FRGHT_CNVNC_QTY_TONM,True,2025-07-15,ARRV_PRT_CD-ARVL_CN_NM-ARVL_HMS-ARVL_PRT_NM-DPRT_PRT_CD-DPTRP_LA-DPTRP_LO-DPTR_CN_NM-DPTR_HMS-DPTR_PRT_NM-DTNT_LA-DTNT_LO-FRGHT_CNVNC_QTY-FRGHT_CNVNC_QTY_TONM-IMO_IDNTF_NO-MMSI-SHIP_OWNER_NM,올시데이터,해운물류,"CSV, JSON, XML","['""올시데이터', 'allseadata', 'cargocarried', 'ton-mile', '선박화물', '톤마일', '항로정보""', '화물수송']",소비/유통,상품,물류,"['""올시데이터', 'allseadata', 'cargocarried', 'ton-mile', '선박화물', '톤마일', '항로정보""', '화물수송']",73382181,994638,73382181.0
bigdata-sea,page_001053.html,-,벌커선 선박의 화물운송 데이터 셋,선박의 화물운송,0,MMSI|IMO_IDNTF_NO|SHIP_NM|SHIP_KIND|SHIP_WDTH|SHIP_LNTH|SHIP_HGHT|SHIP_OWNER_NM|DRAFT|SHPYRD_NM|BULD_YR|DDWGHT|DPTR_HMS|ARVL_HMS|DPTRP_LA|DPTRP_LO|DTNT_LA|DTNT_LO|FRGHT_CNVNC_QTY|FRGHT_CNVNC_QTY_TONM,True,2025-07-15,ARVL_HMS-BULD_YR-DDWGHT-DPTRP_LA-DPTRP_LO-DPTR_HMS-DRAFT-DTNT_LA-DTNT_LO-FRGHT_CNVNC_QTY-FRGHT_CNVNC_QTY_TONM-IMO_IDNTF_NO-MMSI-SHIP_HGHT-SHIP_KIND-SHIP_LNTH-SHIP_NM-SHIP_OWNER_NM-SHIP_WDTH-SHPYRD_NM,올시데이터,해운물류,"CSV, JSON, XML","['""올시데이터', 'allseadata', 'cargocarried', 'ton-mile', '선박화물', '톤마일', '항로정보""', '화물수송']",소비/유통,상품,물류,"['""올시데이터', 'allseadata', 'cargocarried', 'ton-mile', '선박화물', '톤마일', '항로정보""', '화물수송']",857099,17815,857099.0
bigdata-sea,page_001054.html,-,벌커선 선박별 Co2 Nox 발생량 데이터 셋,선박별 Co2 Nox 발생량,0,MMSI|IMO_IDNTF_NO|SHIP_NM|SHIP_KIND|SHIP_WDTH|SHIP_LNTH|SHIP_HGHT|SHIP_OWNER_NM|DRAFT|SHPYRD_NM|BULD_YR|DDWGHT|DPTR_HMS|ARVL_HMS|DPTRP_LA|DPTRP_LO|DTNT_LA|DTNT_LO|AVE_VE|MAX_VE|NVGTN_DIST|WAVE_MAX_CYCL|WAVE_AVE_CYCL|WAVE_MAX_HGHT|WAVE_AVE_HGHT|MAX_WDSP|AVE_WDSP|ADDTI_RSTC|TOT_RSTC|RL_POWER|FUEL_CNSMP_QTY|CDBX|NOX|SOX|MTHN|SHIP_NRG_EFFCN_NVGTN_IDX,True,2025-07-15,ADDTI_RSTC-ARVL_HMS-AVE_VE-AVE_WDSP-BULD_YR-CDBX-DDWGHT-DPTRP_LA-DPTRP_LO-DPTR_HMS-DRAFT-DTNT_LA-DTNT_LO-FUEL_CNSMP_QTY-IMO_IDNTF_NO-MAX_VE-MAX_WDSP-MMSI-MTHN-NOX-NVGTN_DIST-RL_POWER-SHIP_HGHT-SHIP_KIND-SHIP_LNTH-SHIP_NM-SHIP_NRG_EFFCN_NVGTN_IDX-SHIP_OWNER_NM-SHIP_WDTH-SHPYRD_NM-SOX-TOT_RSTC-WAVE_AVE_CYCL-WAVE_AVE_HGHT-WAVE_MAX_CYCL-WAVE_MAX_HGHT,올시데이터,해양환경,"CSV, JSON, XML","['""올시데이터', 'allseadata', 'ch4', 'co2', 'nox', 'sox', '메탄', '메테인', '선박오염', '이산화탄소', '질소산화물', '항로정보""', '황산화물']",산업/기술,해양/수산,선박,"['""올시데이터', 'allseadata', 'ch4', 'co2', 'nox', 'sox', '메탄', '메테인', '선박오염', '이산화탄소', '질소산화물', '항로정보""', '황산화물']",819398,15428,819398.0
bigdata-sea,page_001055.html,-,벌커선 선박별 파도높이에 따른 평균/최대 속도 데이터,벌커선 선박별 파도높이에 따른 평균/최대 속도 데이터,0,MMSI|IMO_IDNTF_NO|SHIP_NM|SHIP_KIND|SHIP_WDTH|SHIP_LNTH|SHIP_HGHT|SHIP_OWNER_NM|DRAFT|SHPYRD_NM|BULD_YR|DDWGHT|DPTR_HMS|ARVL_HMS|WAVE_AVE_VE_1M|WAVE_AVE_VE_2M|WAVE_AVE_VE_3M|WAVE_AVE_VE_4M|WAVE_AVE_VE_5M|WAVE_AVE_VE_6M|WAVE_AVE_VE_7M|WAVE_AVE_VE_8M|WAVE_AVE_VE_9M|WAVE_AVE_VE_10M_ABOVE|WAVE_MAX_VE_1M|WAVE_MAX_VE_2M|WAVE_MAX_VE_3M|WAVE_MAX_VE_4M|WAVE_MAX_VE_5M|WAVE_MAX_VE_6M|WAVE_MAX_VE_7M|WAVE_MAX_VE_8M|WAVE_MAX_VE_9M|WAVE_MAX_VE_10M_ABOVE,True,2025-07-15,ARVL_HMS-BULD_YR-DDWGHT-DPTR_HMS-DRAFT-IMO_IDNTF_NO-MMSI-SHIP_HGHT-SHIP_KIND-SHIP_LNTH-SHIP_NM-SHIP_OWNER_NM-SHIP_WDTH-SHPYRD_NM-WAVE_AVE_VE_10M_ABOVE-WAVE_AVE_VE_1M-WAVE_AVE_VE_2M-WAVE_AVE_VE_3M-WAVE_AVE_VE_4M-WAVE_AVE_VE_5M-WAVE_AVE_VE_6M-WAVE_AVE_VE_7M-WAVE_AVE_VE_8M-WAVE_AVE_VE_9M-WAVE_MAX_VE_10M_ABOVE-WAVE_MAX_VE_1M-WAVE_MAX_VE_2M-WAVE_MAX_VE_3M-WAVE_MAX_VE_4M-WAVE_MAX_VE_5M-WAVE_MAX_VE_6M-WAVE_MAX_VE_7M-WAVE_MAX_VE_8M-WAVE_MAX_VE_9M,올시데이터,해운물류,"CSV, JSON, XML","['""올시데이터', 'allseadata', '선박별', '최대속도""', '파도높이', '평균속도']",산업/기술,해양/수산,선박,"['""올시데이터', 'allseadata', '선박별', '최대속도""', '파도높이', '평균속도']",893956,17800,893956.0
bigdata-sea,page_001056.html,-,벌커선 선종별 파도높이에 따른 평균/최대 속도 데이터,벌커선 선종별 파도높이에 따른 평균/최대 속도 데이터,0,SHIP_KIND|SHIP_CNT|DPTR_HMS|ARVL_HMS|WAVE_AVE_VE_1M|WAVE_AVE_VE_2M|WAVE_AVE_VE_3M|WAVE_AVE_VE_4M|WAVE_AVE_VE_5M|WAVE_AVE_VE_6M|WAVE_AVE_VE_7M|WAVE_AVE_VE_8M|WAVE_AVE_VE_9M|WAVE_AVE_VE_10M_ABOVE|WAVE_MAX_VE_1M|WAVE_MAX_VE_2M|WAVE_MAX_VE_3M|WAVE_MAX_VE_4M|WAVE_MAX_VE_5M|WAVE_MAX_VE_6M|WAVE_MAX_VE_7M|WAVE_MAX_VE_8M|WAVE_MAX_VE_9M|WAVE_MAX_VE_10M_ABOVE,True,2025-07-15,ARVL_HMS-DPTR_HMS-SHIP_CNT-SHIP_KIND-WAVE_AVE_VE_10M_ABOVE-WAVE_AVE_VE_1M-WAVE_AVE_VE_2M-WAVE_AVE_VE_3M-WAVE_AVE_VE_4M-WAVE_AVE_VE_5M-WAVE_AVE_VE_6M-WAVE_AVE_VE_7M-WAVE_AVE_VE_8M-WAVE_AVE_VE_9M-WAVE_MAX_VE_10M_ABOVE-WAVE_MAX_VE_1M-WAVE_MAX_VE_2M-WAVE_MAX_VE_3M-WAVE_MAX_VE_4M-WAVE_MAX_VE_5M-WAVE_MAX_VE_6M-WAVE_MAX_VE_7M-WAVE_MAX_VE_8M-WAVE_MAX_VE_9M,올시데이터,해운물류,"CSV, JSON, XML","['allseadata', '선종별', '올시데이터', '최대속도', '파도높이', '평균속도']",산업/기술,해양/수산,해양,"['allseadata', '선종별', '올시데이터', '최대속도', '파도높이', '평균속도']",3916,51,3916.0
bigdata-sea,page_001057.html,-,벌커선 선주사 선대별 파도높이에 따른 평균/최대 속도 데이터,벌커선 선주사 선대별 파도높이에 따른 평균/최대 속도 데이터,0,SHIP_OWNER_NM|SHIP_CNT|DPTR_HMS|ARVL_HMS|WAVE_AVE_VE_1M|WAVE_AVE_VE_2M|WAVE_AVE_VE_3M|WAVE_AVE_VE_4M|WAVE_AVE_VE_5M|WAVE_AVE_VE_6M|WAVE_AVE_VE_7M|WAVE_AVE_VE_8M|WAVE_AVE_VE_9M|WAVE_AVE_VE_10M_ABOVE|WAVE_MAX_VE_1M|WAVE_MAX_VE_2M|WAVE_MAX_VE_3M|WAVE_MAX_VE_4M|WAVE_MAX_VE_5M|WAVE_MAX_VE_6M|WAVE_MAX_VE_7M|WAVE_MAX_VE_8M|WAVE_MAX_VE_9M|WAVE_MAX_VE_10M_ABOVE,True,2025-07-15,ARVL_HMS-DPTR_HMS-SHIP_CNT-SHIP_OWNER_NM-WAVE_AVE_VE_10M_ABOVE-WAVE_AVE_VE_1M-WAVE_AVE_VE_2M-WAVE_AVE_VE_3M-WAVE_AVE_VE_4M-WAVE_AVE_VE_5M-WAVE_AVE_VE_6M-WAVE_AVE_VE_7M-WAVE_AVE_VE_8M-WAVE_AVE_VE_9M-WAVE_MAX_VE_10M_ABOVE-WAVE_MAX_VE_1M-WAVE_MAX_VE_2M-WAVE_MAX_VE_3M-WAVE_MAX_VE_4M-WAVE_MAX_VE_5M-WAVE_MAX_VE_6M-WAVE_MAX_VE_7M-WAVE_MAX_VE_8M-WAVE_MAX_VE_9M,올시데이터,해운물류,"CSV, JSON, XML","['allseadata', '선대', '선주별', '올시데이터', '최대속도', '파도높이', '평균속도']",산업/기술,해양/수산,해양,"['allseadata', '선대', '선주별', '올시데이터', '최대속도', '파도높이', '평균속도']",120736,1617,120736.0
